File,Lines,Words,KeywordMatches
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Editor.RemoteDocumentTypes.XLWA.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Editor.TextView.ZORL.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.GitProvider.GitRepositoryManager.1.3.BrokeredClient.BCOI.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.GitProvider.GitRepositoryManager.1.3.BrokeredService.QYDL.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.Conex.Trust.KLRK.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.Developer.IdentityService.JCBJ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.Internal.VisualStudio.Extensibility.Framework.ExtensionPartManager.FCTE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.Internal.VisualStudio.Extensibility.Framework.MetadataServicesFactory.QGUD.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.ServiceHub.Framework.AuthorizationService.BrokeredClient.DTUX.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.ServiceHub.Framework.AuthorizationService.BrokeredService.RYJS.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Commands.Client.Services.RemotableCommandService.GFAC.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.ContextRuleMonitorService.0.1.BrokeredClient.WKKE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.ContextRuleMonitorService.0.1.BrokeredService.UNYJ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Extensibility.ExtensionMetadataService.0.3.BrokeredClient.MSSD.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Extensibility.ExtensionMetadataService.0.3.BrokeredService.YBTX.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Extensibility.ExtensionResourceDictionaryService.0.1.BrokeredClient.KIHK.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Extensibility.ExtensionResourceDictionaryService.0.1.BrokeredService.EGGL.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.FileSystem.1.4.BrokeredClient.VEIH.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.FileSystem.1.4.BrokeredService.PLXZ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.GlobalBrokeredServiceContainer.RXKX.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Platform.WindowManagement.RemoteWindowManager.FSXR.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.RpcContracts.Extensibility.IExtensionMetadataService.PFVA.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.RpcContracts.IStringResourceDictionary.KTHU.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Services.LogHubReaperService.BJBB.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Shell.DiagnosticViewerService.1.0.BrokeredClient.LDHQ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Shell.DiagnosticViewerService.1.0.BrokeredService.KDSU.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Shell.OutputChannelStore.0.1.BrokeredClient.QWTA.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Shell.OutputChannelStore.0.1.BrokeredService.SGGX.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Shell.SettingsManager.1.0.BrokeredClient.EDXF.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.Shell.SettingsManager.1.0.BrokeredService.GSIM.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.TaskStatusCenter.BrokeredClient.EJNZ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.TaskStatusCenter.BrokeredService.XIMH.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.TraceHubCommand.1.0.BrokeredClient.FWGA.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.TraceHubCommand.1.0.BrokeredService.GHWC.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.TraceHubCommand.Core.ZKMF.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.TraceHubRegistrationService.1.0.BrokeredClient.QKDM.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.TraceHubRegistrationService.1.0.BrokeredService.ZPYE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS8289FADE.Microsoft.VisualStudio.TraceHubRegistrationService.Core.FCXT.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Editor.RemoteDocumentTypes.XOUX.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Editor.TextView.DMRS.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.GitProvider.GitRepositoryManager.1.3.BrokeredClient.WKNU.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.GitProvider.GitRepositoryManager.1.3.BrokeredService.TYRR.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.Conex.Trust.PUPB.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.Developer.IdentityService.VEIU.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.Internal.VisualStudio.Extensibility.Framework.ExtensionPartManager.WIHJ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.Internal.VisualStudio.Extensibility.Framework.MetadataServicesFactory.ZZYY.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.ServiceHub.Framework.AuthorizationService.BrokeredClient.LFFG.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.ServiceHub.Framework.AuthorizationService.BrokeredService.LVOP.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.VisualStudio.Commands.Client.Services.RemotableCommandService.KVUE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.VisualStudio.ContextRuleMonitorService.0.1.BrokeredClient.SQPR.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.VisualStudio.ContextRuleMonitorService.0.1.BrokeredService.UKNQ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.VisualStudio.Extensibility.ExtensionMetadataService.0.3.BrokeredClient.LOCN.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.VisualStudio.Extensibility.ExtensionMetadataService.0.3.BrokeredService.KFYE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.VisualStudio.Extensibility.ExtensionResourceDictionaryService.0.1.BrokeredClient.VHRU.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VSBAFA7E9D.Microsoft.VisualStudio.Extensibility.ExtensionResourceDictionaryService.0.1.BrokeredService.LOFW.svclog,0,0,0
